iter,source drug,target drug,geneset,source tissue,target tissue,pval,Test Accuracy,Test ROC_AUC
0,Pembro,Nivo,source biomarkers,STAD,SKCM,0.05,0.6071428571428571,0.6842105263157895
1,Pembro,Nivo,source biomarkers,STAD,SKCM,0.05,0.4642857142857143,0.5730994152046784
2,Pembro,Nivo,source biomarkers,STAD,SKCM,0.05,0.6071428571428571,0.45029239766081874
3,Pembro,Nivo,source biomarkers,STAD,SKCM,0.05,0.6071428571428571,0.6023391812865497
4,Pembro,Nivo,source biomarkers,STAD,SKCM,0.05,0.5714285714285714,0.4970760233918129
5,Pembro,Nivo,source biomarkers,STAD,SKCM,0.05,0.4642857142857143,0.39181286549707606
6,Pembro,Nivo,source biomarkers,STAD,SKCM,0.05,0.5357142857142857,0.4327485380116959
7,Pembro,Nivo,source biomarkers,STAD,SKCM,0.05,0.42857142857142855,0.4093567251461988
8,Pembro,Nivo,source biomarkers,STAD,SKCM,0.05,0.5,0.6374269005847953
9,Pembro,Nivo,source biomarkers,STAD,SKCM,0.05,0.5,0.6257309941520467
10,Pembro,Nivo,source biomarkers,STAD,SKCM,0.05,0.7142857142857143,0.760233918128655
11,Pembro,Nivo,source biomarkers,STAD,SKCM,0.05,0.6785714285714286,0.6900584795321638
12,Pembro,Nivo,source biomarkers,STAD,SKCM,0.05,0.75,0.7953216374269007
13,Pembro,Nivo,source biomarkers,STAD,SKCM,0.05,0.5,0.5204678362573099
14,Pembro,Nivo,source biomarkers,STAD,SKCM,0.05,0.6071428571428571,0.5906432748538012
15,Pembro,Nivo,source biomarkers,STAD,SKCM,0.05,0.6785714285714286,0.6783625730994152
16,Pembro,Nivo,source biomarkers,STAD,SKCM,0.05,0.5714285714285714,0.5789473684210527
17,Pembro,Nivo,source biomarkers,STAD,SKCM,0.05,0.5,0.5789473684210527
18,Pembro,Nivo,source biomarkers,STAD,SKCM,0.05,0.75,0.7543859649122807
19,Pembro,Nivo,source biomarkers,STAD,SKCM,0.05,0.6785714285714286,0.6666666666666667
20,Pembro,Nivo,source biomarkers,STAD,SKCM,0.05,0.6428571428571429,0.7485380116959064
21,Pembro,Nivo,source biomarkers,STAD,SKCM,0.05,0.5357142857142857,0.5555555555555556
22,Pembro,Nivo,source biomarkers,STAD,SKCM,0.05,0.5714285714285714,0.6257309941520468
23,Pembro,Nivo,source biomarkers,STAD,SKCM,0.05,0.7142857142857143,0.7134502923976608
24,Pembro,Nivo,source biomarkers,STAD,SKCM,0.05,0.5357142857142857,0.6491228070175439
25,Pembro,Nivo,source biomarkers,STAD,SKCM,0.05,0.4642857142857143,0.32748538011695905
26,Pembro,Nivo,source biomarkers,STAD,SKCM,0.05,0.5714285714285714,0.6023391812865497
27,Pembro,Nivo,source biomarkers,STAD,SKCM,0.05,0.6428571428571429,0.6432748538011696
28,Pembro,Nivo,source biomarkers,STAD,SKCM,0.05,0.4642857142857143,0.4912280701754386
29,Pembro,Nivo,source biomarkers,STAD,SKCM,0.05,0.5714285714285714,0.5672514619883041
30,Pembro,Nivo,source biomarkers,STAD,SKCM,0.05,0.4642857142857143,0.4327485380116959
31,Pembro,Nivo,source biomarkers,STAD,SKCM,0.05,0.5357142857142857,0.5847953216374269
32,Pembro,Nivo,source biomarkers,STAD,SKCM,0.05,0.5,0.6140350877192983
33,Pembro,Nivo,source biomarkers,STAD,SKCM,0.05,0.5714285714285714,0.6023391812865497
34,Pembro,Nivo,source biomarkers,STAD,SKCM,0.05,0.6071428571428571,0.5321637426900585
35,Pembro,Nivo,source biomarkers,STAD,SKCM,0.05,0.6428571428571429,0.6491228070175439
36,Pembro,Nivo,source biomarkers,STAD,SKCM,0.05,0.6785714285714286,0.543859649122807
37,Pembro,Nivo,source biomarkers,STAD,SKCM,0.05,0.6428571428571429,0.5730994152046784
38,Pembro,Nivo,source biomarkers,STAD,SKCM,0.05,0.5714285714285714,0.6432748538011696
39,Pembro,Nivo,source biomarkers,STAD,SKCM,0.05,0.7142857142857143,0.6432748538011696
40,Pembro,Nivo,source biomarkers,STAD,SKCM,0.05,0.5714285714285714,0.6900584795321638
41,Pembro,Nivo,source biomarkers,STAD,SKCM,0.05,0.5,0.5497076023391814
42,Pembro,Nivo,source biomarkers,STAD,SKCM,0.05,0.5714285714285714,0.6257309941520468
43,Pembro,Nivo,source biomarkers,STAD,SKCM,0.05,0.5,0.543859649122807
44,Pembro,Nivo,source biomarkers,STAD,SKCM,0.05,0.5714285714285714,0.4619883040935672
45,Pembro,Nivo,source biomarkers,STAD,SKCM,0.05,0.4642857142857143,0.456140350877193
46,Pembro,Nivo,source biomarkers,STAD,SKCM,0.05,0.5714285714285714,0.5380116959064327
47,Pembro,Nivo,source biomarkers,STAD,SKCM,0.05,0.7142857142857143,0.6491228070175439
48,Pembro,Nivo,source biomarkers,STAD,SKCM,0.05,0.6071428571428571,0.6374269005847953
49,Pembro,Nivo,source biomarkers,STAD,SKCM,0.05,0.6428571428571429,0.7134502923976608
0,Pembro,Nivo,drug targets,STAD,SKCM,0.05,0.5,0.4385964912280702
1,Pembro,Nivo,drug targets,STAD,SKCM,0.05,0.5357142857142857,0.5555555555555556
2,Pembro,Nivo,drug targets,STAD,SKCM,0.05,0.6785714285714286,0.6900584795321637
3,Pembro,Nivo,drug targets,STAD,SKCM,0.05,0.6071428571428571,0.6549707602339181
4,Pembro,Nivo,drug targets,STAD,SKCM,0.05,0.5714285714285714,0.6257309941520468
5,Pembro,Nivo,drug targets,STAD,SKCM,0.05,0.6428571428571429,0.7485380116959064
6,Pembro,Nivo,drug targets,STAD,SKCM,0.05,0.6428571428571429,0.7543859649122807
7,Pembro,Nivo,drug targets,STAD,SKCM,0.05,0.5,0.5789473684210527
8,Pembro,Nivo,drug targets,STAD,SKCM,0.05,0.5357142857142857,0.543859649122807
