,Patient,Gene1,Gene2,Edge,Curvature,Response
0,A549_LUNG,FLNA,ITGB1,FLNA;ITGB1,0.7063955176738986,0
1,A549_LUNG,FLNA,HSPB7,FLNA;HSPB7,0.0,0
2,A549_LUNG,CD2,CD7,CD2;CD7,0.0,0
3,A549_LUNG,CD2,CD5,CD2;CD5,0.0,0
4,A549_LUNG,CD5,CD7,CD5;CD7,0.0,0
5,A549_LUNG,ANPEP,CD7,ANPEP;CD7,0.0,0
6,A549_LUNG,TGFB1,FN1,TGFB1;FN1,0.6119117819618692,0
7,A549_LUNG,TGFB1,LRRC32,TGFB1;LRRC32,0.0,0
8,A549_LUNG,FN1,VTN,FN1;VTN,0.0,0
9,A549_LUNG,FN1,ITGB1,FN1;ITGB1,0.0,0
10,A549_LUNG,FN1,ITGA8,FN1;ITGA8,0.0,0
11,A549_LUNG,CALM3,DLG4,CALM3;DLG4,0.5361915517844547,0
12,A549_LUNG,CALM3,RYR1,CALM3;RYR1,0.0,0
13,A549_LUNG,CALM3,FKBP1B,CALM3;FKBP1B,0.0,0
14,A549_LUNG,CALM3,RYR2,CALM3;RYR2,0.0,0
15,A549_LUNG,CALM3,TRDN,CALM3;TRDN,0.0,0
16,A549_LUNG,ITGB1,VTN,ITGB1;VTN,0.0,0
17,A549_LUNG,ITGB1,ITGA8,ITGB1;ITGA8,0.0,0
18,A549_LUNG,ITGB1,NPNT,ITGB1;NPNT,0.0,0
19,A549_LUNG,FLNC,SGCD,FLNC;SGCD,0.5105456023246377,0
20,A549_LUNG,SNTA1,SGCD,SNTA1;SGCD,0.0,0
21,A549_LUNG,SNTA1,SSPN,SNTA1;SSPN,0.0,0
22,A549_LUNG,SNTA1,DAG1,SNTA1;DAG1,0.0,0
23,A549_LUNG,SNTA1,DMD,SNTA1;DMD,0.0,0
24,A549_LUNG,SNTA1,SGCA,SNTA1;SGCA,0.0,0
25,A549_LUNG,SNTA1,CAV3,SNTA1;CAV3,0.0,0
26,A549_LUNG,SGCD,SGCG,SGCD;SGCG,0.0,0
27,A549_LUNG,SGCD,SSPN,SGCD;SSPN,0.0,0
28,A549_LUNG,SGCD,SGCA,SGCD;SGCA,0.0,0
29,A549_LUNG,SGCD,CAV3,SGCD;CAV3,0.0,0
30,A549_LUNG,SGCD,SGCE,SGCD;SGCE,0.0,0
31,A549_LUNG,SGCD,DAG1,SGCD;DAG1,0.0,0
32,A549_LUNG,SGCD,DMD,SGCD;DMD,0.0,0
33,A549_LUNG,SGCD,SGCB,SGCD;SGCB,0.0,0
34,A549_LUNG,SSPN,SGCG,SSPN;SGCG,0.0,0
35,A549_LUNG,SSPN,DMD,SSPN;DMD,0.0,0
36,A549_LUNG,SSPN,DAG1,SSPN;DAG1,0.0,0
37,A549_LUNG,SSPN,SGCE,SSPN;SGCE,0.0,0
38,A549_LUNG,SSPN,SGCA,SSPN;SGCA,0.0,0
39,A549_LUNG,DAG1,SGCG,DAG1;SGCG,0.0,0
40,A549_LUNG,DAG1,SGCA,DAG1;SGCA,0.0,0
41,A549_LUNG,DAG1,NRXN2,DAG1;NRXN2,0.0,0
42,A549_LUNG,DAG1,CAV3,DAG1;CAV3,0.0,0
43,A549_LUNG,DAG1,DMD,DAG1;DMD,0.0,0
44,A549_LUNG,DAG1,SGCB,DAG1;SGCB,0.0,0
45,A549_LUNG,DAG1,NRXN1,DAG1;NRXN1,0.0,0
46,A549_LUNG,DAG1,SGCE,DAG1;SGCE,0.0,0
47,A549_LUNG,DMD,SGCG,DMD;SGCG,0.0,0
48,A549_LUNG,DMD,SGCA,DMD;SGCA,0.0,0
49,A549_LUNG,DMD,CAV3,DMD;CAV3,0.0,0
50,A549_LUNG,DMD,SGCE,DMD;SGCE,0.0,0
51,A549_LUNG,DMD,SGCB,DMD;SGCB,0.0,0
52,A549_LUNG,SGCA,SGCG,SGCA;SGCG,0.0,0
53,A549_LUNG,SGCA,SGCB,SGCA;SGCB,0.0,0
54,A549_LUNG,CAV3,SGCB,CAV3;SGCB,0.0,0
55,A549_LUNG,SGCG,SGCB,SGCG;SGCB,0.0,0
56,A549_LUNG,SGCB,SGCE,SGCB;SGCE,0.0,0
57,A549_LUNG,NRXN2,NLGN4Y,NRXN2;NLGN4Y,0.0,0
58,A549_LUNG,NRXN2,DLG4,NRXN2;DLG4,0.0,0
59,A549_LUNG,NRXN1,NLGN4Y,NRXN1;NLGN4Y,0.0,0
60,A549_LUNG,NRXN1,DLG4,NRXN1;DLG4,0.0,0
61,A549_LUNG,DLG4,NLGN4Y,DLG4;NLGN4Y,0.0,0
62,A549_LUNG,SLC1A6,SPTBN2,SLC1A6;SPTBN2,0.0,0
63,A549_LUNG,VTN,ITGA8,VTN;ITGA8,0.0,0
64,A549_LUNG,CRYAA,CRYAB,CRYAA;CRYAB,0.0,0
65,A549_LUNG,ITGA8,NPNT,ITGA8;NPNT,0.0,0
66,A549_LUNG,TET2,EBF1,TET2;EBF1,0.9835125206789914,0
67,A549_LUNG,ACVR2B,BMP3,ACVR2B;BMP3,0.0,0
68,A549_LUNG,KRT13,KRT4,KRT13;KRT4,0.0,0
69,A549_LUNG,HRC,TRDN,HRC;TRDN,0.0,0
70,A549_LUNG,TRDN,CASQ2,TRDN;CASQ2,0.0,0
71,A549_LUNG,TRDN,FKBP1B,TRDN;FKBP1B,0.0,0
72,A549_LUNG,TRDN,RYR1,TRDN;RYR1,0.0,0
73,A549_LUNG,TRDN,RYR2,TRDN;RYR2,0.0,0
74,A549_LUNG,TRDN,CASQ1,TRDN;CASQ1,0.0,0
75,A549_LUNG,TRDN,ASPH,TRDN;ASPH,0.0,0
76,A549_LUNG,CASQ2,RYR2,CASQ2;RYR2,0.0,0
77,A549_LUNG,CASQ2,RYR1,CASQ2;RYR1,0.0,0
78,A549_LUNG,CASQ2,ASPH,CASQ2;ASPH,0.0,0
79,A549_LUNG,RYR2,RYR1,RYR2;RYR1,0.0,0
80,A549_LUNG,RYR2,ASPH,RYR2;ASPH,0.0,0
81,A549_LUNG,RYR2,CASQ1,RYR2;CASQ1,0.0,0
82,A549_LUNG,RYR2,FKBP1B,RYR2;FKBP1B,0.0,0
83,A549_LUNG,RYR1,ASPH,RYR1;ASPH,0.0,0
84,A549_LUNG,RYR1,CASQ1,RYR1;CASQ1,0.0,0
85,A549_LUNG,RYR1,FKBP1B,RYR1;FKBP1B,0.0,0
86,A549_LUNG,ASPH,CASQ1,ASPH;CASQ1,0.0,0
87,A549_LUNG,ASPH,FKBP1B,ASPH;FKBP1B,0.0,0
88,A549_LUNG,SECTM1,CD7,SECTM1;CD7,0.0,0
89,A549_LUNG,EBF1,PAX5,EBF1;PAX5,0.0,0
90,A549_LUNG,EBF1,ZNF423,EBF1;ZNF423,0.0,0
91,A549_LUNG,ANO2,CLCA4,ANO2;CLCA4,0.0,0
92,A549_LUNG,ANO2,CLCA2,ANO2;CLCA2,0.0,0
93,CALU3_LUNG,FLNA,ITGB1,FLNA;ITGB1,0.7068252801637931,0
94,CALU3_LUNG,FLNA,HSPB7,FLNA;HSPB7,0.0,0
95,CALU3_LUNG,CD2,CD7,CD2;CD7,0.0,0
96,CALU3_LUNG,CD2,CD5,CD2;CD5,0.0,0
97,CALU3_LUNG,CD5,CD7,CD5;CD7,0.0,0
98,CALU3_LUNG,ANPEP,CD7,ANPEP;CD7,0.0,0
99,CALU3_LUNG,TGFB1,FN1,TGFB1;FN1,0.6475906908857659,0
100,CALU3_LUNG,TGFB1,LRRC32,TGFB1;LRRC32,0.0,0
101,CALU3_LUNG,FN1,VTN,FN1;VTN,0.0,0
102,CALU3_LUNG,FN1,ITGB1,FN1;ITGB1,0.0,0
103,CALU3_LUNG,FN1,ITGA8,FN1;ITGA8,0.0,0
104,CALU3_LUNG,CALM3,DLG4,CALM3;DLG4,0.5612278450989694,0
105,CALU3_LUNG,CALM3,RYR1,CALM3;RYR1,0.0,0
106,CALU3_LUNG,CALM3,FKBP1B,CALM3;FKBP1B,0.0,0
107,CALU3_LUNG,CALM3,RYR2,CALM3;RYR2,0.0,0
108,CALU3_LUNG,CALM3,TRDN,CALM3;TRDN,0.0,0
109,CALU3_LUNG,ITGB1,VTN,ITGB1;VTN,0.0,0
110,CALU3_LUNG,ITGB1,ITGA8,ITGB1;ITGA8,0.0,0
111,CALU3_LUNG,ITGB1,NPNT,ITGB1;NPNT,0.0,0
112,CALU3_LUNG,FLNC,SGCD,FLNC;SGCD,0.0,0
