iter,source drug,target drug,geneset,source tissue,target tissue,pval,Test Accuracy,Test ROC_AUC
0,Atezo,Atezo,source biomarkers,KIRC,BLCA,0.005,0.6666666666666666,0.7109533468559838
1,Atezo,Atezo,source biomarkers,KIRC,BLCA,0.005,0.68,0.5253549695740365
2,Atezo,Atezo,source biomarkers,KIRC,BLCA,0.005,0.56,0.5557809330628803
3,Atezo,Atezo,source biomarkers,KIRC,BLCA,0.005,0.6133333333333333,0.5953346855983773
4,Atezo,Atezo,source biomarkers,KIRC,BLCA,0.005,0.72,0.667342799188641
0,Atezo,Atezo,drug targets,KIRC,BLCA,0.005,0.6,0.4908722109533468
1,Atezo,Atezo,drug targets,KIRC,BLCA,0.005,0.6266666666666667,0.5689655172413793
2,Atezo,Atezo,drug targets,KIRC,BLCA,0.005,0.64,0.7190669371196754
3,Atezo,Atezo,drug targets,KIRC,BLCA,0.005,0.56,0.5598377281947262
4,Atezo,Atezo,drug targets,KIRC,BLCA,0.005,0.48,0.486815415821501
0,Atezo,Atezo,random sample,KIRC,BLCA,0.005,0.6079999999999999,0.5896551724137932
1,Atezo,Atezo,random sample,KIRC,BLCA,0.005,0.5519999999999999,0.5308316430020283
2,Atezo,Atezo,random sample,KIRC,BLCA,0.005,0.5786666666666667,0.5440162271805273
3,Atezo,Atezo,random sample,KIRC,BLCA,0.005,0.5146666666666666,0.4247464503042596
4,Atezo,Atezo,random sample,KIRC,BLCA,0.005,0.5813333333333334,0.5496957403651116
